Group Account Number|Outlet subAccountNumber|House Number
182153000001|184459300004|40137601
182153000001|185746700004|40314601
182153000001|105128000004|40616801
182153000001|112457000004|40601701
182153000001|137239600004|40352601
182153000001|185780300004|40358601
182153000001|133588400004|15025202
182153000001|101343200004|40312201
182153000001|100022400044|40158101
182153000001|183066900004|40158001
182153000001|123704000004|40341101
182153000001|182980300004|40008801
182153000001|135347900004|40028102
182153000001|134119400004|40386502
182153000001|104084500004|40124901
182153000001|185411500004|40104901
182153000001|125461500004|40368301
182153000001|136054000004|40324901
182153000001|137214000004|40375101
182153000001|137418500004|40310801
182153000001|184230300004|40125301
182153000001|102816300004|40351901
182153000001|100014800011|40808202
182153000001|184597400004|40104201
182153000001|136746500004|13052101
182153000001|105306600004|15014501
182153000001|127464000004|40425101
182153000001|103369200004|40804301
182153000001|185115400004|40345401
182153000001|105748200004|40121501
182153000001|182303700004|40614301
182153000001|131127700004|40815701
182153000001|100031000077|40122801
182153000001|181168300004|40502102
182153000001|123847400004|40385902
182153000001|183507500089|15028402
182153000001|180123000004|40122701
182153000001|185314800004|40408201
182153000001|182085600004|40122601
182153000001|185170600004|40123601
182153000001|104703900004|60000701
182153000001|105021500004|40004701
182153000001|183495400004|40021001
182153000001|182421000004|40010401
182153000001|182738400004|40386402
182153000001|182270500004|40321401
182153000001|102022600004|15023102
182153000001|100524200004|15020202
182153000001|100031000094|15028102
182153000001|103448300004|40408801
182153000001|183070400004|40123401
182153000001|184388800004|40123801
182153000001|139791500004|15029502
182153000001|135180500004|15027302
182153000001|181927800004|15013601
182153000001|183478400031|40162201
182153000001|107115000004|40162001
182153000001|101092800004|40165101
182153000001|183478400006|40352001
182153000001|182339100004|15025602
182153000001|184165700004|40162801
182153000001|106288200004|15018801
182153000001|182669200004|40161901
182153000001|103989900004|15026802
182153000001|109610300004|40163701
182153000001|181482100004|40161601
182153000001|136046300004|40164201
182153000001|186049000004|40163001
182153000001|186055000004|40162101
182153000001|105745600004|40151501
182153000001|105858000004|40017201
182153000001|136335900004|40004001
182153000001|182677100004|15030102
182153000001|104659600004|15020902
182153000001|185027300004|15027702
182153000001|181387500004|40027702
182153000001|104244400004|40102101
182153000001|125192700004|40028002
182153000001|105946900004|40029502
182153000001|182252800004|40336001
182153000001|182140500004|40122201
182153000001|185306200004|40122301
182153000001|105782800004|40117001
182153000001|185471200004|40365301
182153000001|100618400004|40300201
182153000001|142148200004|40344801
182153000001|180133500004|40119301
182153000001|133053100004|40117901
182153000001|183702200004|40605501
182153000001|107365600004|40010501
182153000001|130165500004|13023001
182153000001|185311800004|40122001
182153000001|184155200004|40346201
182153000001|184474300004|40121801
182153000001|111462300004|40121701
182153000001|102715000004|40121901
182153000001|138549700004|40121301
182153000001|181251200004|40706801
182153000001|104702700004|40704601
182153000001|185141500004|40806901
182153000001|182101800004|40815501
182153000001|136784400004|40814101
182153000001|142656800004|40380001
182153000001|141766100004|40815901
182153000001|180575900004|40812301
182153000001|123958300004|40509902
182153000001|119390200004|40408001
182153000001|184556900004|15028902
182153000001|185061200004|15021302
182153000001|180850400004|15029202
182153000001|182892600004|15026302
182153000001|102346900004|15026002
182153000001|183819300004|15030202
182153000001|182870500004|40124301
182153000001|182082600004|15026102
182153000001|115685900004|15010201
182153000001|100031000088|15030302
182153000001|102982300004|15028802
182153000001|184699800004|40325701
182153000001|132499800004|40201501
182153000001|100031000022|40206501
