Sky Ref Number,Outlet Type,Food Offering,BT Sports Pub,Preferential Sports,Number of TVs,Carling,Molson Coors
129452900004,Gastro Pub,bar and kitchen,No,,1,Yes,IOP - not eligible
139225400004,Gastro Pub,bar and kitchen,No,,1,Yes,IOP - tier 3
100017200387,Gastro Pub,everyday traditional,No,,1,No,IOP - not eligible
105837600004,Gastro Pub,bar and kitchen,No,,1,Yes,IOP - tier 2
100190900004,Gastro Pub,bar and kitchen,Yes,,1,Yes,IOP - not eligible
107623000004,Gastro Pub,bar and kitchen,Yes,,1,Yes,IOP - not eligible
106488200004,Gastro Pub,fine dining,No,,1,Yes,IOP - not eligible
110601400004,Gastro Pub,bar and kitchen,No,,1,No,IOP - not eligible
181927800004,Gastro Pub,bar and kitchen,No,,1,Yes,
183559500005,Gastro Pub,fine dining,No,,0,No,
185077600004,Gastro Pub,bar and kitchen,Yes,,1,No,
183045000004,Gastro Pub,bar and kitchen,No,,0,Yes,
184364500004,Gastro Pub,bar and kitchen,No,,0,Yes,Wholesale
102758000004,Gastro Pub,bar snacks,No,,1,No,
120372000004,Gastro Pub,everyday traditional,Yes,,1,No,
184535700004,Gastro Pub,bar and kitchen,No,,0,No,
135508100004,Gastro Pub,bar and kitchen,Yes,,1,Yes,Wholesale
180974100004,Gastro Pub,everyday traditional,Yes,,1,No,
130243900004,Gastro Pub,everyday traditional,Yes,,1,No,
132683600004,Gastro Pub,bar and kitchen,No,,1,No,
106068600004,Gastro Pub,bar and kitchen,No,,0,Yes,
140443000004,Gastro Pub,everyday traditional,Yes,,1,No,
135025000004,Gastro Pub,everyday traditional,Yes,,1,No,
185872900004,Gastro Pub,fine dining,Yes,,1,Yes,IOP - not eligible
180898800004,Gastro Pub,bar and kitchen,Yes,,1,No,
100623000004,Gastro Pub,everyday traditional,Yes,,1,No,
181481300004,Gastro Pub,bar and kitchen,No,,0,No,
183507500274,Gastro Pub,bar and kitchen,No,,1,No,
118278000004,Gastro Pub,everyday traditional,Yes,,1,No,
104474700004,Gastro Pub,everyday traditional,Yes,,1,No,
184843100004,Gastro Pub,bar and kitchen,Yes,,1,No,
115409800004,Gastro Pub,bar and kitchen,Yes,,1,Yes,
102887300004,Gastro Pub,bar and kitchen,No,,1,No,
185291900004,Gastro Pub,bar and kitchen,No,,0,Yes,
183775700004,Gastro Pub,bar and kitchen,No,,0,No,
182695800004,Gastro Pub,bar and kitchen,Yes,,1,No,
184540700004,Gastro Pub,bar and kitchen,No,,0,No,
184904600004,Gastro Pub,bar and kitchen,No,,1,Yes,
101938100004,Gastro Pub,bar and kitchen,Yes,,1,No,
184722900004,Gastro Pub,bar and kitchen,Yes,,1,No,
183793800004,Gastro Pub,bar and kitchen,Yes,,1,No,
182731800004,Gastro Pub,everyday traditional,No,,1,Yes,
139345400004,Gastro Pub,bar and kitchen,No,,0,Yes,
184730300004,Gastro Pub,bar and kitchen,No,,1,Yes,
182617600004,Gastro Pub,bar and kitchen,No,,0,Yes,
126359300004,Gastro Pub,bar and kitchen,Yes,,1,Yes,
142616400004,Gastro Pub,bar and kitchen,No,,1,Yes,
185577100004,Gastro Pub,bar and kitchen,Yes,,1,No,
107577900004,Gastro Pub,bar and kitchen,Yes,,1,No,
184427200004,Gastro Pub,bar and kitchen,Yes,,1,No,
184376200004,Gastro Pub,bar and kitchen,No,,0,No,
182396900004,Golf Club,bar and kitchen,No,,0,Yes,Wholesale
101413900004,Golf Club,everyday traditional,No,,0,Yes,
184677900004,High Street Bar,everyday traditional,Yes,,1,No,IOP - tier 3
100012600024,High Street Bar,everyday traditional,No,,1,No,
184064700004,High Street Bar,everyday traditional,No,,1,No,
