billingsubaccount,outletsubaccount,agreementid,chargeableid,offercode,overrideprice,effectivedate
182891900003,182891900004,00000000000000665949_00000001379325562890_00178,00000000000000673954_00000001380626639031_00167,RUK_STA_GEN_O  ,43.85,01/08/2016
182951400003,182951400004,00000000000000666433_00000001379338662201_00013,00000000000000673346_00000001380391944752_00607,RUK_STA_GEN_O  ,43.85,01/08/2016
182934100003,182934100004,00000000000000665982_00000001379338654904_00203,00000000000000673346_00000001380388886053_00459,RUK_STA_GEN_O  ,45.49,01/08/2016
182948200003,182948200004,00000000000000666261_00000001379338665117_00452,00000000000000673305_00000001380391283423_00959,RUK_STA_GEN_O  ,52.54,01/08/2016
182946600003,182946600004,00000000000000666088_00000001379338658190_00388,00000000000000673346_00000001380390892331_00535,RUK_STA_GEN_O  ,61.36,01/08/2016
101119200003,101119200004,MIGPRD00000000442242_00000008060041997083_04385,00000000000000667743_00000001379591180028_00968,RUK_ALC_GEN_O  ,5.25,01/08/2016
101563800003,101563800004,MIGPRD00000000446688_00000008060041866830_14203,00000000000000672984_00000001380551716168_00322,RUK_ALC_GEN_O  ,5.25,01/08/2016
101650900003,101650900004,MIGPRD00000000447559_00000008060041244984_89746,00000000000000673365_00000001380279147911_00541,RUK_ALC_GEN_O  ,5.25,01/08/2016
101874600003,101874600004,00000000000000349043_00000001335955942019_00168,00000000000000669454_00000001379773732648_00786,RUK_ALC_GEN_O  ,5.25,01/08/2016
101976000003,101976000004,MIGPRD00000000450810_00000008060041194489_94946,00000000000000672976_00000001380216106618_00438,RUK_ALC_GEN_O  ,5.25,01/08/2016
102322900003,102322900004,MIGPRD00000000454279_00000008060041533782_05066,00000000000000673026_00000001380478932981_00637,RUK_ALC_GEN_O  ,5.25,01/08/2016
103395500003,103395500004,MIGPRD00000000465005_00000008060041206978_84557,00000000000000673563_00000001380479779979_01072,RUK_ALC_GEN_O  ,5.25,01/08/2016
104778700003,104778700004,MIGPRD00000000478837_00000008060042122576_51457,00000000000000668447_00000001379596685692_00776,RUK_ALC_GEN_O  ,5.25,01/08/2016
104781500003,104781500004,MIGPRD00000000478865_00000008060041664299_54340,00000000000000672978_00000001380550599717_01644,RUK_ALC_GEN_O  ,5.25,01/08/2016
105101600003,105101600004,MIGPRD00000000482066_00000008060041370601_56213,00000000000000672960_00000001380298254985_00557,RUK_ALC_GEN_O  ,5.25,01/08/2016
182177900003,182177900004,00000000000000489606_00000001355847303556_00336,00000000000000673034_00000001380298548744_00533,RUK_ALC_GEN_O  ,5.25,01/08/2016
182250700003,182250700004,00000000000000516009_00000001359458053296_00248,00000000000000670189_00000001379846402550_00283,RUK_ALC_GEN_O  ,5.25,01/08/2016
182279500003,182279500004,00000000000000520352_00000001360060212278_00185,00000000000000673034_00000001380298616789_00545,RUK_ALC_GEN_O  ,5.25,01/08/2016
182336700003,182336700004,00000000000000533952_00000001361899071770_00159,00000000000000674299_00000001380629513220_00317,RUK_ALC_GEN_O  ,5.25,01/08/2016
182647300003,182647300004,00000000000000611052_00000001371902776025_00155,00000000000000674293_00000001380629816559_00324,RUK_ALC_GEN_O  ,5.25,01/08/2016
182882000003,182882000004,00000000000000665971_00000001379326625585_00138,00000000000000672964_00000001380192540465_00156,RUK_STA_GEN_O  ,5.25,01/08/2016
182906500003,182906500004,00000000000000666658_00000001379338646642_00242,00000000000000672990_00000001380226747872_00534,RUK_STA_GEN_O  ,5.25,01/08/2016
182911500003,182911500004,00000000000000666184_00000001379338650481_00230,00000000000000672955_00000001380224632685_00361,RUK_STA_GEN_O  ,5.25,01/08/2016
182919100003,182919100004,00000000000000666561_00000001379326635053_00055,00000000000000672477_00000001380118591833_00095,RUK_STA_GEN_O  ,5.25,01/08/2016
182975900003,182975900004,00000000000000666296_00000001379326631721_00120,00000000000000673379_00000001380197081154_00156,RUK_STA_GEN_O  ,5.25,01/08/2016
182986600003,182986600004,00000000000000665970_00000001379338667331_00541,00000000000000673583_00000001380226492562_00898,RUK_STA_GEN_O  ,5.25,01/08/2016
182872700003,182872700004,00000000000000666697_00000001379338644782_00221,00000000000000673305_00000001380384190528_00779,RUK_STA_GEN_O  ,70.06,01/08/2016
182992000003,182992000004,00000000000000666697_00000001379338668459_00323,00000000000000673284_00000001380393713958_00796,RUK_STA_GEN_O  ,78.75,01/08/2016
101929400003,101929400004,00000000000000666293_00000001379337328073_00311,00000000000000672880_00000001380380700563_01210,RUK_STA_GEN_O  ,87.57,01/08/2016
182915300003,182915300004,00000000000000666460_00000001379338647903_00350,00000000000000673291_00000001380385880504_00857,RUK_STA_GEN_O  ,87.57,01/08/2016
