Sky Reference Number - Outlet,Total Weighting,Territory Code
181400000004,9999,4
138790000004,9999,4
102989000004,9999,4
101699000004,9999,4
183797000004,9999,4
120194000004,9999,4
102661000004,9999,4
100026000025,9999,4
102791000004,9999,4
122597000004,9999,4
183523000004,9999,4
101011000004,9999,4
137656000004,9999,4
185098000004,9999,4
103583000004,9999,4
102210000004,9999,4
127489000004,9999,4
137773000004,9999,4
183756000004,9999,4
138859000004,9999,4
100661000004,9999,4
105599000004,9999,4
102162000004,9999,4
104674000004,9999,4
100576000004,9999,4
185043000004,9999,4
101060000004,9999,4
136777000004,9999,4
104093000004,9999,4
104175000004,9999,4
100439000004,9999,4
129091000004,9999,4
185138000004,9999,4
100051000004,9999,4
100555000004,9999,4
120366000004,9999,4
138757000004,9999,4
104033000004,9999,4
101666000004,9999,4
137349000004,9999,4
181400000004,9999,4
180058000004,9999,4
180283000004,9999,4
184531000004,9999,4
183616000004,9999,4
181818000004,9999,4
183823000004,9999,4
180733000004,9999,4
180210000004,9999,4
142529000004,9999,4
102145000004,50,4
106533000004,47,4
101598000004,40,4
113167000004,40,4
130760000004,40,4
111569000004,40,4
120386000004,40,4
105376000004,40,4
101157000004,40,4
104170000004,40,4
115434000004,40,4
107697000004,40,4
103777000004,40,4
137920000004,40,4
126771000004,40,4
106933000004,40,4
124891000004,40,4
140729000004,40,4
102909000004,40,4
137490000004,40,4
126861000004,40,4
126539000004,40,4
105437000004,40,4
101740000004,40,4
101714000004,40,4
104837000004,37,4
105169000004,35,4
123629000004,32,4
128230000004,32,4
185775000004,30,4
185326000004,30,4
185325000004,30,4
184985000004,30,4
184838000004,30,4
184696000004,30,4
183098000004,30,4
136826000004,30,4
181655000004,30,4
100051000004,30,4
180057000004,30,4
104499000004,30,4
121338000004,30,4
124446000004,30,4
122924000004,30,4
126772000004,30,4
100393000004,30,4
124913000004,30,4
124440000004,30,4
122768000004,30,4
132149000004,30,4
186005000004,9999,9
100878000004,9999,9
184396000004,9999,9
142320000004,9999,9
101826000004,9999,9
106410000004,9999,9
104593000004,9999,9
103585000004,9999,9
103363000004,9999,9
100051000004,9999,9
184521000004,9999,9
138002000004,9999,9
105395000004,9999,9
184521000004,9998,9
106410000004,9998,9
