Sky Reference Number - Outlet,Total Weighting,Territory Code
100000300012,30,44
100000300019,0,44
100000300035,37,25
100000300036,25,25
100000300038,40,25
100010700008,20,24
100010800012,7,25
100010900066,17,44
100011700138,30,41
100011700195,30,15
100011700210,30,38
100011700323,30,27
100011700350,30,32
100011700814,5,16
100011701277,30,20
100013300008,30,35
100013300012,40,39
100013300025,37,26
100013300055,25,38
100013300056,30,41
100013300062,0,41
100013300082,30,43
100013400065,20,44
100013400075,10,29
100013400081,20,15
100014300021,30,22
100014300026,25,22
100014300032,37,23
100014300035,30,22
100014300054,30,37
100014700040,30,35
100014700041,25,25
100014700059,20,25
100014700072,30,41
100014700085,30,41
100014700106,30,25
100014700137,5,41
100014800013,30,8
100014800026,35,8
100014800049,25,8
100014800058,30,6
100014800075,47,6
100014800080,30,29
100014800083,20,29
100014800089,17,8
100014800092,10,32
100014800096,30,8
100014900005,10,2
100015300226,10,25
100015300255,10,42
100015300342,5,25
100015300355,5,17
100015300395,10,40
100015300400,10,22
100015300442,5,30
100015300463,10,9
100015300466,10,19
100016500011,25,9
100016500022,30,15
100016600010,30,40
100016600013,30,22
100016800137,5,25
100017100014,20,7
100017200008,25,38
100017200064,30,25
100017200065,25,40
100017200072,30,41
100017200079,30,43
100017200084,30,40
100017200095,37,43
100017200108,30,25
100017200110,30,40
100017200118,0,24
100017200126,30,40
100017200146,25,40
100017200161,25,38
100017200165,30,40
100017200181,30,38
100017200185,25,22
100017200193,0,36
100017200196,5,23
100017200202,25,22
100017200205,30,40
100017200213,25,41
100017200230,30,25
100017200231,0,20
100017200235,30,25
100017200244,30,41
100017200277,30,25
100017200284,25,23
100017200285,30,25
100017200306,25,21
100017200318,25,22
100017200337,30,24
100017200363,25,42
100017200385,25,41
100017200407,30,41
100017200424,25,23
100017200429,0,24
100017400017,25,25
100017400020,30,25
100017400023,30,20
100017400026,30,41
100017400028,40,23
100017400029,35,25
100017400030,30,25
100017600007,30,25
100017600012,30,41
100017600027,30,41
100017600030,25,41
100017600034,37,25
100017700013,30,22
100017700026,30,23
100017700041,30,22
100017700079,40,22
100017700092,25,23
100017700096,5,24
100017800006,30,17
100017800028,30,23
100017800035,30,23
100017800037,20,17
100018200004,30,25
