Sky Ref Number,Weighting Value,Territory
115093800004,60,1
105065800004,60,1
118525000004,60,1
116553600004,60,1
101918100004,90,1
112346600004,60,1
102591700004,98,1
102048800004,60,1
102181700004,75,1
105755000004,60,1
101844500004,75,1
183838300004,100,1
101097700004,70,1
104504700004,65,1
100770600004,75,1
107926300004,60,1
111870300004,60,1
118270700004,60,1
116627200004,60,1
101752100004,60,1
102755400004,60,1
103294100004,85,1
104825800004,60,1
125016000004,75,1
101100100004,75,1
101006100004,60,1
101559700004,70,1
105823900004,60,1
107640300004,60,1
115020100004,60,1
103353200004,60,1
100330100004,60,1
116790400004,60,1
107287800004,60,1
112395700004,60,1
125681500004,75,1
100934700004,70,1
100880200004,60,1
117111900004,60,1
182279200004,85,1
113782500004,60,1
107764500004,60,1
130785500004,65,1
114553900004,60,1
118725500004,85,1
101226500004,75,1
102667100004,60,1
102943400004,60,1
101404700004,60,1
106313600004,60,1
115973300004,60,1
113803100004,60,1
111469900004,60,1
111321600004,60,1
106906000004,60,1
138270500004,75,1
184231200004,70,1
117527300004,65,1
115086900004,60,1
113918300004,70,1
101699600004,60,1
112081800004,65,1
107764900004,65,1
116245600004,60,1
112456400004,60,1
136876100004,75,1
131646400004,70,1
115355600004,60,1
136086700004,98,1
106977900004,60,1
107711000004,60,1
104037100004,70,1
110075200004,60,1
115454000004,60,1
107062000004,60,1
138651900004,70,1
110123300004,60,1
136309600004,9999,1
108569500004,65,1
107045700004,60,1
108129200004,60,1
104771600004,65,1
100527600004,60,1
138955300004,70,1
106128100004,60,1
138383900004,65,1
108495100004,60,1
101375000004,60,1
131385800004,65,1
108703300004,60,1
115684900004,60,1
106583600004,60,1
107067300004,60,1
118796200004,60,1
112726400004,60,1
138854000004,75,1
109687300004,60,1
138320200004,75,1
127652200004,65,1
116721900004,60,1
100154700004,60,1
100320400004,65,1
102753300004,60,1
104539100004,75,1
105382100004,75,1
103329000004,60,1
104201000004,75,1
117229800004,60,1
100561400004,70,1
184307600004,9999,1
100559000004,75,1
107156400004,60,1
105150200004,75,1
132976200004,65,1
123415800004,65,1
183757500004,9999,1
101558300004,60,1
107097500004,70,1
101816100004,75,1
112505800004,60,1
100431500004,60,1
131948500004,9998,1
102765500004,60,1
136711300004,65,1
113033600004,60,1
106903200004,60,1
114538200004,60,1
101731800004,75,1
100270900004,75,1
105985600004,75,1
100599000004,65,1
100676800004,60,1
137155100004,65,1
138244400004,70,1
108824100004,60,1
111948300004,60,1
106983900004,60,1
128802300004,70,1
108681800004,60,1
133464800004,75,1
136221300004,75,1
137113400004,75,1
123874200004,70,1
132297400004,65,1
183489900004,9998,1
112424500004,60,1
119594600004,75,1
103473500004,60,1
115587700004,65,1
101525800004,75,1
118322000004,60,1
115703400004,60,1
112649700004,60,1
107491200004,70,1
114439000004,60,1
113097200004,60,1
108572000004,60,1
110248900004,60,1
137851800004,70,1
111845300004,65,1
137248400004,65,1
116002400004,60,1
100771400004,9998,1
122644000004,75,1
113119900004,65,1
113222200004,60,1
100251000004,75,1
117381800004,60,1
104111900004,85,1
107738400004,60,1
183135100004,98,1
115251900004,60,1
131548600004,65,1
138218500004,65,1
130744700004,75,1
112707800004,60,1
118327500004,60,1
103058500004,75,1
107235600004,60,1
180732800004,98,1
115094600004,60,1
182321800004,75,1
102537200004,60,1
115175000004,75,1
115689500004,65,1
100714400004,65,1
122743900004,70,1
102268600004,60,1
117053300004,60,1
102785900004,60,1
105991200004,60,1
119158100004,65,1
102713800004,60,1
185257000004,9999,1
102409300004,65,1
100940800004,60,1
105241700004,98,1
105661300004,60,1
181763700004,75,1
181901200004,75,1
185767400004,9998,1
182857100004,80,1
183126100004,65,1
184293000004,75,1
184533100004,65,1
184667900004,70,1
104142400004,65,1
186534600004,75,1
120887400004,60,2
185794400004,9998,2
100601000004,60,2
101130300004,75,2
105420200004,75,2
101987800004,75,2
103560500004,60,2
114015200004,60,2
138615600004,9998,2
120847100004,60,2
100361200004,9998,2
115357000004,60,2
125336800004,60,2
141514000004,98,2
107047500004,60,2
136912900004,65,2
102289000004,60,2
101785100004,75,2
105741300004,65,2
102135800004,60,2
104114500004,98,2
123432100004,60,2
183651300004,75,2
138273300004,75,2
100573100004,60,2
124450500004,60,2
116625900004,75,2
117397500004,60,2
122730400004,65,2
102688300004,60,2
185527900004,75,2
104816000004,75,2
102524000004,60,2
185957800004,75,2
106660000004,70,2
125233800004,60,2
118122300004,65,2
111305400004,60,2
135463100004,65,2
111303800004,60,2
129372400004,75,2
105529800004,85,2
121564100004,60,2
122001700004,60,2
184186300004,80,2
107056000004,60,2
112495500004,60,2
100489900004,60,2
106657800004,65,2
136305000004,65,2
101488900004,60,2
108212900004,60,2
100598100004,75,2
116961100004,60,2
130491100004,65,2
137547300004,70,2
125585400004,60,2
122343400004,60,2
184476600004,75,2
100964500004,75,2
124916500004,60,2
122868500004,60,2
102192600004,60,2
104804800004,75,2
110943200004,60,2
186336200004,70,2
125112600004,85,2
111718900004,60,2
111973400004,60,2
138685100004,75,2
137515100004,70,2
121201400004,75,2
184396900004,75,2
105041500004,60,2
124513300004,60,2
136886500004,75,2
106912600004,70,2
123805900004,60,2
121300800004,60,2
100537900004,60,2
103318700004,75,2
138067300004,70,2
111719600004,70,2
122747100004,60,2
122747600004,60,2
182643500004,70,2
105362000004,60,2
123772900004,60,2
104082900004,60,2
131873300004,65,2
118295900004,60,2
115269800004,60,2
101113900004,75,2
103497400004,75,2
104385900004,60,2
180817200004,75,2
102161200004,60,2
122361900004,70,2
101196200004,60,2
183146500004,75,2
136057000004,70,2
105822500004,75,2
102275700004,60,2
101645800004,60,2
101284600004,60,2
102258800004,60,2
185836300004,9998,2
104123500004,98,2
102057500004,98,2
102070300004,60,2
103635400004,85,2
115086500004,75,2
103531300004,60,2
101648000004,60,2
102146100004,60,2
140747600004,65,2
101314000004,60,2
110003700004,60,2
138965200004,65,2
137372800004,85,2
125662000004,60,2
106733900004,60,2
115361600004,75,2
121757800004,60,2
117350800004,60,2
100906000004,60,2
182958900004,75,2
120217000004,70,2
116493000004,60,2
102644300004,70,2
101600100004,60,2
129733600004,70,2
180776000004,75,2
119476400004,70,2
123902200004,60,2
109083600004,60,2
186296200004,85,2
184206800004,75,2
117834200004,60,2
123045800004,60,2
118653500004,60,2
111915200004,75,2
138864000004,75,2
101243900004,70,2
104181100004,60,2
106700600004,60,2
136878500004,75,2
101635400004,70,2
140173600004,70,2
123806300004,60,2
116004000004,60,2
101028900004,60,2
125413200004,60,2
115973000004,60,2
104455700004,90,2
120406500004,98,2
106504200004,60,2
115340200004,60,2
124293500004,60,2
107977000004,65,2
107064000004,70,2
107074400004,75,2
139068800004,75,2
185266500004,75,2
116224800004,75,2
140254000004,75,2
141249600004,85,2
137160000004,75,2
100430400004,75,2
116696600004,60,2
138480000004,75,2
100781500004,75,2
106530400004,60,2
117318100004,70,2
106735100004,70,2
107051800004,60,2
141654000004,65,2
122356400004,60,2
118927100004,60,2
125468600004,60,2
141447100004,75,2
122825400004,60,2
122690400004,60,2
113960600004,60,2
100353400004,75,2
122395700004,60,2
122761700004,70,2
118582700004,60,2
104738800004,70,2
111638700004,60,2
102693800004,70,2
107368200004,60,2
186375900004,9998,2
101589600004,60,2
105537800004,90,2
104208600004,9999,2
182549200004,75,2
181220000004,98,2
105751200004,75,2
181267900004,98,2
140811000004,75,2
122362700004,75,2
102010600004,75,2
185797700004,9998,2
136118400004,70,2
182985800004,85,2
183819200004,9999,2
183801300004,9998,2
104658100004,75,2
186145600004,9998,2
108383300004,60,3
136585700004,75,3
101697500004,75,3
184296900004,75,3
105755700004,60,3
108047000004,60,3
104794200004,60,3
184460900004,9998,3
105594200004,60,3
102899600004,75,3
102897700004,85,3
132535400004,75,3
105056700004,60,3
103194600004,90,3
182192100004,75,3
102598400004,75,3
103762900004,60,3
100127200004,60,3
101190900004,60,3
100423900004,60,3
182650900004,9998,3
137361300004,75,3
184254500004,75,3
100935200004,60,3
104109700004,75,3
184615900004,75,3
101248300004,85,3
101691700004,60,3
105927400004,60,3
103922600004,60,3
125835800004,9999,3
101745100004,75,3
100858900004,60,3
105300700004,75,3
106624800004,60,3
184512800004,85,3
183872800004,75,3
101052000004,70,3
185336700004,90,3
180415500004,75,3
108314500004,60,3
105856200004,60,3
101777200004,75,3
101981300004,60,3
106758600004,60,3
110610400004,60,3
105366600004,60,3
108047400004,60,3
129091000004,75,3
103197800004,75,3
104730400004,60,3
184508800004,75,3
105482700004,70,3
103460300004,60,3
102097300004,60,3
126833400004,75,3
103545100004,70,3
108446400004,60,3
184483700004,75,3
106891800004,60,3
108398800004,60,3
105554300004,60,3
186556100004,9998,3
121053300004,75,3
102621400004,98,3
101715200004,85,3
103777400004,60,3
104419000004,60,3
106785400004,60,3
101080800004,70,3
106176900004,60,3
108226100004,60,3
105971000004,75,3
101362200004,60,3
125936500004,75,3
103367300004,60,3
182694400004,90,3
101761900004,60,3
181942000004,75,3
104065200004,80,3
128936400004,9998,3
104462200004,60,3
141254300004,75,3
106553200004,65,3
110608900004,60,3
106062100004,60,3
137335300004,65,3
102961700004,60,3
135879800004,9998,3
103950000004,75,3
102203300004,75,3
137240400004,75,3
124367100004,70,3
118696600004,75,3
100475200004,60,3
107273800004,60,3
102992200004,60,3
133137800004,75,3
103569000004,60,3
104326500004,60,3
102398700004,60,3
102486100004,70,3
100484500004,60,3
105795000004,65,3
186413500004,75,3
104718700004,9999,3
101075200004,75,3
104796100004,75,3
185584100004,100,3
102845900004,75,3
101273300004,75,3
108577600004,75,3
110415200004,60,3
100663400004,60,3
183720700004,70,3
100566300004,60,3
104797000004,70,3
137095800004,65,3
101388700004,60,3
105859300004,75,3
100179300004,80,3
104190500004,60,3
104417300004,75,3
100481900004,60,3
100404100004,60,3
104020400004,75,3
102495100004,9999,3
120226100004,98,3
124675400004,98,3
100806400004,65,3
108369000004,60,3
186002000004,80,3
103234600004,75,3
118311900004,65,3
106772400004,60,3
136688300004,65,3
102225200004,60,3
180508200004,85,3
105357200004,70,3
120050200004,75,3
103472700004,85,3
106254100004,98,3
186126900004,70,3
110793600004,70,3
110543800004,60,3
105474300004,60,3
106779800004,60,3
104116900004,60,3
101079700004,60,3
102673900004,60,3
100844300004,60,3
130312400004,75,3
136359600004,75,3
100416500004,60,3
106519500004,60,3
102899700004,9999,3
108509500004,60,3
101317400004,60,3
108225800004,60,3
184539200004,75,3
104073600004,60,3
105034500004,70,3
104742500004,60,3
102548000004,60,3
185315500004,75,3
101747700004,75,3
104953500004,60,3
184442900004,75,3
106304000004,60,3
106590000004,60,3
106708300004,60,3
110596700004,60,3
102444800004,60,3
101103500004,60,3
102603000004,60,3
110639400004,60,3
105295500004,70,3
184283100004,9999,3
100437200004,60,3
125942000004,65,3
137581300004,75,3
121785100004,70,3
182731100004,75,3
110372700004,60,3
105337100004,60,3
108492100004,60,3
120896600004,75,3
103336900004,60,3
100966900004,60,3
106423400004,60,3
184412000004,75,3
101412100004,60,3
108520500004,60,3
105936000004,60,3
181531000004,98,3
181625300004,75,3
181619200004,75,3
183751300004,100,3
181626600004,70,3
185929600004,75,3
181868900004,98,3
182413100004,70,3
103227700004,75,3
184288000004,75,3
184508700004,75,3
184617300004,75,3
184789800004,98,3
185199900004,65,3
101120100004,75,3
101154600004,75,3
