Sky Reference Number - Outlet,Total Weighting,Territory Code,,,,,,
131822800004,9999,36,,,,,,
134399100004,9999,36,,,,,,
184541700004,9999,36,,,,,,
185078200004,9998,36,,,,,,
104863100004,9997,36,,,,,,
119231500004,9997,36,,,,,,
105359700004,75,36,,,,,,
105932000004,75,36,,,,,,
106576900004,75,36,,,,,,
107394800004,75,36,,,,,,
111098200004,75,36,,,,,,
118721400004,75,36,,,,,,
121337000004,75,36,,,,,,
134592800004,75,36,,,,,,
136782600004,75,36,,,,,,
139033200004,75,36,,,,,,
140611700004,75,36,,,,,,
141291400004,75,36,,,,,,
141596700004,75,36,,,,,,
141632600004,75,36,,,,,,
142129400004,75,36,,,,,,
180337700004,75,36,,,,,,
180920600004,75,36,,,,,,
181376800004,75,36,,,,,,
181400103414,75,36,,,,,,
181451200004,75,36,,,,,,
182303700004,75,36,,,,,,
182464900004,75,36,,,,,,
182594200004,75,36,,,,,,
182867900004,75,36,,,,,,
182971700004,75,36,,,,,,
183520300004,75,36,,,,,,
183883700004,75,36,,,,,,
183955200004,75,36,,,,,,
184193000004,75,36,,,,,,
184502100004,75,36,,,,,,
184537200004,75,36,,,,,,
184556500004,75,36,,,,,,
105594800004,50,36,,,,,,
101069300004,47,36,,,,,,
123801000004,47,36,,,,,,
126699600004,47,36,,,,,,
141901900004,47,36,,,,,,
142153100004,47,36,,,,,,
142564800004,47,36,,,,,,
102298400004,42,36,,,,,,
106239500004,42,36,,,,,,
111921700004,42,36,,,,,,
134399600004,42,36,,,,,,
137309400004,42,36,,,,,,
100050700646,40,36,,,,,,
101967600004,40,36,,,,,,
104112000004,40,36,,,,,,
106443500004,40,36,,,,,,
106751700004,40,36,,,,,,
110735900004,40,36,,,,,,
110738600004,40,36,,,,,,
110752600004,40,36,,,,,,
116042900004,40,36,,,,,,
117708200004,40,36,,,,,,
124549800004,40,36,,,,,,
125661900004,40,36,,,,,,
125922300004,40,36,,,,,,
127514900004,40,36,,,,,,
128402300004,40,36,,,,,,
130266800004,40,36,,,,,,
130314700004,40,36,,,,,,
131135100004,40,36,,,,,,
132575000004,40,36,,,,,,
132774500004,40,36,,,,,,
133892200004,40,36,,,,,,
134123400004,40,36,,,,,,
134270700004,40,36,,,,,,
134304900004,40,36,,,,,,
135011200004,40,36,,,,,,
136342700004,40,36,,,,,,
137233500004,40,36,,,,,,
140179900004,40,36,,,,,,
141985600004,40,36,,,,,,
101726600004,37,36,,,,,,
101943700004,37,36,,,,,,
102474300004,37,36,,,,,,
106252200004,37,36,,,,,,
106355100004,37,36,,,,,,
109391600004,37,36,,,,,,
110377900004,37,36,,,,,,
110738300004,37,36,,,,,,
123623300004,37,36,,,,,,
125116000004,37,36,,,,,,
134764800004,37,36,,,,,,
136415400004,37,36,,,,,,
136826900004,37,36,,,,,,
137219300004,37,36,,,,,,
137483000004,37,36,,,,,,
101014500004,35,36,,,,,,
101995500004,35,36,,,,,,
102830400004,35,36,,,,,,
106056600004,35,36,,,,,,
108022800004,35,36,,,,,,
110671000004,35,36,,,,,,
110884200004,35,36,,,,,,
112293800004,35,36,,,,,,
118082800004,35,36,,,,,,
120284900004,35,36,,,,,,
123130900004,35,36,,,,,,
123770700004,35,36,,,,,,
124932600004,35,36,,,,,,
127385600004,35,36,,,,,,
130002800004,35,36,,,,,,
130495800004,35,36,,,,,,
130528600004,35,36,,,,,,
131316400004,35,36,,,,,,
132026100004,35,36,,,,,,
132470300004,35,36,,,,,,
134668800004,35,36,,,,,,
137302200004,35,36,,,,,,
139358600004,35,36,,,,,,
181400103198,35,36,,,,,,
100349600004,32,36,,,,,,
119794200004,32,36,,,,,,
124714200004,32,36,,,,,,
125032600004,32,36,,,,,,
137002200004,32,36,,,,,,
181312100004,32,36,,,,,,
100234700004,30,36,,,,,,
100493900004,30,36,,,,,,
100983300004,30,36,,,,,,
101067300004,30,36,,,,,,
101121800004,30,36,,,,,,
101268100004,30,36,,,,,,
101531500004,30,36,,,,,,
101545900004,30,36,,,,,,
101994500004,30,36,,,,,,
102347700004,30,36,,,,,,
102444700004,30,36,,,,,,
102610700004,30,36,,,,,,
102894800004,30,36,,,,,,
102901900004,30,36,,,,,,
103295800004,30,36,,,,,,
103517600004,30,36,,,,,,
103948100004,30,36,,,,,,
104036900004,30,36,,,,,,
104499700004,30,36,,,,,,
104559700004,30,36,,,,,,
104726900004,30,36,,,,,,
105710000004,30,36,,,,,,
106250700004,30,36,,,,,,
106341800004,30,36,,,,,,
106947100004,30,36,,,,,,
107099200004,30,36,,,,,,
107235100004,30,36,,,,,,
107235500004,30,36,,,,,,
108151500004,30,36,,,,,,
108175500004,30,36,,,,,,
109390600004,30,36,,,,,,
109648100004,30,36,,,,,,
109682400004,30,36,,,,,,
109901200004,30,36,,,,,,
110201800004,30,36,,,,,,
110418400004,30,36,,,,,,
110600200004,30,36,,,,,,
110614200004,30,36,,,,,,
110643400004,30,36,,,,,,
110708800004,30,36,,,,,,
110739400004,30,36,,,,,,
110739800004,30,36,,,,,,
110752000004,30,36,,,,,,
110796900004,30,36,,,,,,
110919200004,30,36,,,,,,
110937100004,30,36,,,,,,
111017500058,30,36,,,,,,
111032900004,30,36,,,,,,
111092700004,30,36,,,,,,
111100400004,30,36,,,,,,
111166100004,30,36,,,,,,
111368800004,30,36,,,,,,
111744000004,30,36,,,,,,
111920600004,30,36,,,,,,
111921400004,30,36,,,,,,
112118600004,30,36,,,,,,
112650000004,30,36,,,,,,
112821400004,30,36,,,,,,
113865200004,30,36,,,,,,
114419000004,30,36,,,,,,
115264100004,30,36,,,,,,
115280200004,30,36,,,,,,
115412800004,30,36,,,,,,
115615900004,30,36,,,,,,
115876300004,30,36,,,,,,
115922900004,30,36,,,,,,
116316600004,30,36,,,,,,
116391100004,30,36,,,,,,
116548000004,30,36,,,,,,
116557400004,30,36,,,,,,
117206100004,30,36,,,,,,
117241500004,30,36,,,,,,
117441600004,30,36,,,,,,
117443400004,30,36,,,,,,
117456400004,30,36,,,,,,
118103500004,30,36,,,,,,
103753600004,9999,37,,,,,,
104948300004,9999,37,,,,,,
136881600004,9999,37,,,,,,
142698200004,9999,37,,,,,,
180887800004,9999,37,,,,,,
182150300004,9999,37,,,,,,
182692000004,9999,37,,,,,,
182777400004,9999,37,,,,,,
183524100004,9999,37,,,,,,
185375900004,9999,37,,,,,,
102113600004,9998,37,,,,,,
127972500004,9998,37,,,,,,
180886900004,9998,37,,,,,,
184352500004,9998,37,,,,,,
185253700004,9998,37,,,,,,
185869700004,9998,37,,,,,,
100053200059,9997,37,,,,,,
137077400004,9997,37,,,,,,
102165500004,75,37,,,,,,
102988600004,75,37,,,,,,
103287000004,75,37,,,,,,
103831900004,75,37,,,,,,
104020600004,75,37,,,,,,
104241100004,75,37,,,,,,
104760200004,75,37,,,,,,
105296800004,75,37,,,,,,
105888900004,75,37,,,,,,
