outletSubAccountNumber,nbaCode,action 
1.04646E+11,NBA_0006,N
1.00391E+11,NBA_0006,N
1.02143E+11,NBA_0006,N
1.03985E+11,NBA_0006,N
1.35818E+11,NBA_0006,N
1.3848E+11,NBA_0006,N
1.42316E+11,NBA_0006,N
1.82656E+11,NBA_0006,N
1.82846E+11,NBA_0006,N
1.82902E+11,NBA_0006,N
1.83909E+11,NBA_0006,N
1.8426E+11,NBA_0006,N
1.00104E+11,NBA_0006,N
1.00134E+11,NBA_0006,N
1.00139E+11,NBA_0006,N
1.00148E+11,NBA_0006,N
1.00164E+11,NBA_0006,N
1.00169E+11,NBA_0006,N
1.00184E+11,NBA_0006,N
1.00235E+11,NBA_0006,N
1.00242E+11,NBA_0006,N
1.00249E+11,NBA_0006,N
1.00253E+11,NBA_0006,N
1.00257E+11,NBA_0006,N
1.00265E+11,NBA_0006,N
1.00271E+11,NBA_0006,N
1.00299E+11,NBA_0006,N
1.00314E+11,NBA_0006,N
1.00314E+11,NBA_0006,N
1.00322E+11,NBA_0006,N
1.00324E+11,NBA_0006,N
1.00368E+11,NBA_0006,N
1.00375E+11,NBA_0006,N
1.00385E+11,NBA_0006,N
1.0039E+11,NBA_0006,N
1.00406E+11,NBA_0006,N
1.00407E+11,NBA_0006,N
1.00424E+11,NBA_0006,N
1.00466E+11,NBA_0006,N
1.00497E+11,NBA_0006,N
1.00505E+11,NBA_0006,N
1.00519E+11,NBA_0006,N
1.00541E+11,NBA_0006,N
1.00569E+11,NBA_0006,N
1.00592E+11,NBA_0006,N
1.00595E+11,NBA_0006,N
1.0062E+11,NBA_0006,N
1.00623E+11,NBA_0006,N
1.00629E+11,NBA_0006,N
1.00677E+11,NBA_0006,N
1.00715E+11,NBA_0006,N
1.00746E+11,NBA_0006,N
1.00748E+11,NBA_0006,N
1.00775E+11,NBA_0006,N
1.00802E+11,NBA_0006,N
1.00805E+11,NBA_0006,N
1.00807E+11,NBA_0006,N
1.00814E+11,NBA_0006,N
1.00822E+11,NBA_0006,N
1.00823E+11,NBA_0006,N
1.00834E+11,NBA_0006,N
1.00879E+11,NBA_0006,N
1.00888E+11,NBA_0006,N
1.00889E+11,NBA_0006,N
1.00929E+11,NBA_0006,N
1.0095E+11,NBA_0006,N
1.00955E+11,NBA_0006,N
1.00969E+11,NBA_0006,N
1.00975E+11,NBA_0006,N
1.00996E+11,NBA_0006,N
1.01004E+11,NBA_0006,N
1.01018E+11,NBA_0006,N
1.01052E+11,NBA_0006,N
1.0107E+11,NBA_0006,N
1.01088E+11,NBA_0006,N
1.01109E+11,NBA_0006,N
1.01146E+11,NBA_0006,N
1.01151E+11,NBA_0006,N
1.01159E+11,NBA_0006,N
1.01199E+11,NBA_0006,N
1.01215E+11,NBA_0006,N
1.01234E+11,NBA_0006,N
1.01237E+11,NBA_0006,N
1.0125E+11,NBA_0006,N
1.01287E+11,NBA_0006,N
1.01293E+11,NBA_0006,N
1.01335E+11,NBA_0006,N
1.01353E+11,NBA_0006,N
1.01359E+11,NBA_0006,N
1.01407E+11,NBA_0006,N
1.01429E+11,NBA_0006,N
1.0146E+11,NBA_0006,N
1.01486E+11,NBA_0006,N
1.01551E+11,NBA_0006,N
1.01625E+11,NBA_0006,N
1.0164E+11,NBA_0006,N
