outletSubAccountNumber,nbaCode,action
140237200004,NBA_0040,RP
103295200004,NBA_0040,RP
186589900004,NBA_0040,RP
103793000004,NBA_0040,RP
185345600004,NBA_0040,RP
133503600004,NBA_0040,RP
185495200004,NBA_0040,RP
180922300004,NBA_0040,RP
132235100004,NBA_0040,RP
185052300004,NBA_0040,RP
180111500004,NBA_0040,RP
186755000004,NBA_0040,RP
103493100004,NBA_0040,RP
181168100004,NBA_0040,RP
104176600004,NBA_0040,RP
180813900004,NBA_0040,RP
142066700004,NBA_0040,RP
185071200004,NBA_0040,RP
186003900004,NBA_0040,RP
139669700004,NBA_0040,RP
104109100004,NBA_0040,RP
100642400004,NBA_0040,RP
102990400004,NBA_0040,RP
105567900004,NBA_0040,RP
180886100004,NBA_0040,RP
107635600004,NBA_0040,RP
186488500004,NBA_0040,RP
180058300004,NBA_0040,RP
186317300004,NBA_0040,RP
105393100004,NBA_0040,RP
186849100004,NBA_0040,RP
186540900004,NBA_0040,RP
100504300004,NBA_0040,RP
105793400004,NBA_0040,RP
186812000004,NBA_0040,RP
127471800004,NBA_0040,RP
182139200004,NBA_0040,RP
186986100004,NBA_0040,RP
141672300004,NBA_0040,RP
186925900004,NBA_0040,RP
136222300004,NBA_0040,RP
181500800004,NBA_0040,RP
181346300004,NBA_0040,RP
187011800004,NBA_0040,RP
181891300004,NBA_0040,RP
182622100004,NBA_0040,RP
100703200004,NBA_0040,RP
182456000004,NBA_0040,RP
125251500004,NBA_0040,RP
186470500004,NBA_0040,RP
105970900004,NBA_0040,RP
185138700004,NBA_0040,RP
102166100004,NBA_0040,RP
183026000004,NBA_0040,RP
181315000004,NBA_0040,RP
100176000004,NBA_0040,RP
136268600004,NBA_0040,RP
186110100004,NBA_0040,RP
185477200004,NBA_0040,RP
184607100004,NBA_0040,RP
101081800004,NBA_0040,RP
102810100004,NBA_0040,RP
182132200004,NBA_0040,RP
185272000004,NBA_0040,RP
136345900004,NBA_0040,RP
186765000004,NBA_0040,RP
180246400004,NBA_0040,RP
186773300004,NBA_0040,RP
181406500004,NBA_0040,RP
186425500004,NBA_0040,RP
109039800004,NBA_0040,RP
186496600004,NBA_0040,RP
126645200004,NBA_0040,RP
185203600004,NBA_0040,RP
180942500004,NBA_0040,RP
184849100004,NBA_0040,RP
182801100004,NBA_0040,RP
187008800004,NBA_0040,RP
184023200004,NBA_0040,RP
186156600004,NBA_0040,RP
186745400004,NBA_0040,RP
186426100004,NBA_0040,RP
186546600004,NBA_0040,RP
102994700004,NBA_0040,RP
102997800004,NBA_0040,RP
102075900004,NBA_0040,RP
116184000004,NBA_0040,RP
102981400004,NBA_0040,RP
102379100004,NBA_0040,RP
139156000004,NBA_0040,RP
102738000004,NBA_0040,RP
180371400004,NBA_0040,RP
186846600004,NBA_0040,RP
100660400004,NBA_0040,RP
185066000004,NBA_0040,RP
115175500004,NBA_0040,RP
104952800004,NBA_0040,RP
186353800004,NBA_0040,RP
104551100004,NBA_0040,RP
103758500004,NBA_0040,RP
100784900004,NBA_0040,RP
185211000004,NBA_0040,RP
186120100004,NBA_0040,RP
186019800004,NBA_0040,RP
186582600004,NBA_0040,RP
182554600004,NBA_0040,RP
182540300004,NBA_0040,RP
181427500004,NBA_0040,RP
181393900004,NBA_0040,RP
186212700004,NBA_0040,RP
183786800004,NBA_0040,RP
102380500004,NBA_0040,RP
186026100004,NBA_0040,RP
186587100004,NBA_0040,RP
186749900004,NBA_0040,RP
185110600004,NBA_0040,RP
133018700004,NBA_0040,RP
186021300004,NBA_0040,RP
142322800004,NBA_0040,RP
102257900004,NBA_0040,RP
184026000004,NBA_0040,RP
186320100004,NBA_0040,RP
101872000004,NBA_0040,RP
132563200004,NBA_0040,RP
184005600004,NBA_0040,RP
106287400004,NBA_0040,RP
180977700004,NBA_0040,RP
100877100004,NBA_0040,RP
185480400004,NBA_0040,RP
184305600004,NBA_0040,RP
186882500004,NBA_0040,RP
182172900004,NBA_0040,RP
103891200004,NBA_0040,RP
126354700004,NBA_0040,RP
181137200004,NBA_0040,RP
186088700004,NBA_0040,RP
117282200004,NBA_0040,RP
182674600004,NBA_0040,RP
103618400004,NBA_0040,RP
184460300004,NBA_0040,RP
103633100004,NBA_0040,RP
105394900004,NBA_0040,RP
180191700004,NBA_0040,RP
181941800004,NBA_0040,RP
183836100004,NBA_0040,RP
183751600004,NBA_0040,RP
185234300004,NBA_0040,RP
116571800004,NBA_0040,RP
181326500004,NBA_0040,RP
181711700004,NBA_0040,RP
102201900004,NBA_0040,RP
185286800004,NBA_0040,RP
104172900004,NBA_0040,RP
105976500004,NBA_0040,RP
101037400004,NBA_0040,RP
180867600004,NBA_0040,RP
183492500004,NBA_0040,RP
105565800004,NBA_0040,RP
186400800004,NBA_0040,RP
104368800004,NBA_0040,RP
104175600004,NBA_0040,RP
186811300004,NBA_0040,RP
104597300004,NBA_0040,RP
100488500004,NBA_0040,RP
102636100004,NBA_0040,RP
183147400004,NBA_0040,RP
185070100004,NBA_0040,RP
107279500004,NBA_0040,RP
102204100004,NBA_0040,RP
182331900004,NBA_0040,RP
183992500004,NBA_0040,RP
186567000004,NBA_0040,RP
131134300004,NBA_0040,RP
127170600004,NBA_0040,RP
142700300004,NBA_0040,RP
141808200004,NBA_0040,RP
101568800004,NBA_0040,RP
186924100004,NBA_0040,RP
142337900004,NBA_0040,RP
137232800004,NBA_0040,RP
182327300004,NBA_0040,RP
137914900004,NBA_0040,RP
184227400004,NBA_0040,RP
102404600004,NBA_0040,RP
107157400004,NBA_0040,RP
104882400004,NBA_0040,RP
105388400004,NBA_0040,RP
102013000004,NBA_0040,RP
115482700004,NBA_0040,RP
181350400004,NBA_0040,RP
186666400004,NBA_0040,RP
183643400004,NBA_0040,RP
186818000004,NBA_0040,RP
186354300004,NBA_0040,RP
181683500004,NBA_0040,RP
105998100004,NBA_0040,RP
183861300004,NBA_0040,RP
185901300004,NBA_0040,RP
138728200004,NBA_0040,RP
186299900004,NBA_0040,RP
186386800004,NBA_0040,RP
186430000004,NBA_0040,RP
184176900004,NBA_0040,RP
186518200004,NBA_0040,RP
105108100004,NBA_0040,RP
185918400004,NBA_0040,RP
185371700004,NBA_0040,RP
184534300004,NBA_0040,RP
185526600004,NBA_0040,RP
186577600004,NBA_0040,RP
182128100004,NBA_0040,RP
103778100004,NBA_0040,RP
100118000004,NBA_0040,RP
180527400004,NBA_0040,RP
111115900004,NBA_0040,RP
103994200004,NBA_0040,RP
104749700004,NBA_0040,RP
104959500004,NBA_0040,RP
104173600004,NBA_0040,RP
184011000004,NBA_0040,RP
182434400004,NBA_0040,RP
186670800004,NBA_0040,RP
185061600004,NBA_0040,RP
185180700004,NBA_0040,RP
186323200004,NBA_0040,RP
184592000004,NBA_0040,RP
139864500004,NBA_0040,RP
182519400004,NBA_0040,RP
103681600004,NBA_0040,RP
100872100004,NBA_0040,RP
186644700004,NBA_0040,RP
185816600004,NBA_0040,RP
102931300004,NBA_0040,RP
185894800004,NBA_0040,RP
100644500004,NBA_0040,RP
185375700004,NBA_0040,RP
100174600004,NBA_0040,RP
102095000004,NBA_0040,RP
103614500004,NBA_0040,RP
183679700004,NBA_0040,RP
100927200004,NBA_0040,RP
127280200004,NBA_0040,RP
104132200004,NBA_0040,RP
185088600004,NBA_0040,RP
112159900004,NBA_0040,RP
140200200004,NBA_0040,RP
186161100004,NBA_0040,RP
185965500004,NBA_0040,RP
183891400004,NBA_0040,RP
100803600004,NBA_0040,RP
185562100004,NBA_0040,RP
186897400004,NBA_0040,RP
182117900004,NBA_0040,RP
