outletSubAccountNumber,nbaCode,action
1.0003E+11,NBA_0001,N
1.00078E+11,NBA_0046,P
1.00078E+11,NBA_0009,N
1.00079E+11,NBA_0001,N
1.00079E+11,NBA_0005,N
1.00079E+11,NBA_0006,N
1.00079E+11,NBA_0009,N
1.00079E+11,NBA_0012,N
1.00079E+11,NBA_0001,N
1.00079E+11,NBA_0005,N
1.00079E+11,NBA_0006,N
1.00079E+11,NBA_0009,N
1.00079E+11,NBA_0012,N
1.0008E+11,NBA_0005,N
1.0008E+11,NBA_0006,N
1.0008E+11,NBA_0009,N
1.0008E+11,NBA_0012,N
1.00084E+11,NBA_0005,N
1.00084E+11,NBA_0006,N
1.00084E+11,NBA_0009,N
1.00084E+11,NBA_0012,N
1.0009E+11,NBA_0005,N
1.0009E+11,NBA_0006,N
1.0009E+11,NBA_0009,N
1.0009E+11,NBA_0012,N
1.00092E+11,NBA_0005,N
1.00092E+11,NBA_0006,N
1.00092E+11,NBA_0009,N
1.00092E+11,NBA_0012,N
1.00092E+11,NBA_0001,N
1.00092E+11,NBA_0005,N
1.00092E+11,NBA_0006,N
1.00092E+11,NBA_0009,N
1.00092E+11,NBA_0012,N
1.00094E+11,NBA_0005,N
1.00094E+11,NBA_0006,N
1.00094E+11,NBA_0009,N
1.00094E+11,NBA_0012,N
1.00096E+11,NBA_0005,N
1.00096E+11,NBA_0006,N
1.00096E+11,NBA_0009,N
1.00096E+11,NBA_0012,N
1.00104E+11,NBA_0005,N
1.00104E+11,NBA_0006,N
1.00105E+11,NBA_0005,N
1.00105E+11,NBA_0006,N
1.00105E+11,NBA_0009,N
1.00105E+11,NBA_0012,N
1.00106E+11,NBA_0005,N
1.00106E+11,NBA_0006,N
1.00106E+11,NBA_0009,N
1.00106E+11,NBA_0012,N
1.0011E+11,NBA_0001,N
1.0011E+11,NBA_0005,N
1.0011E+11,NBA_0006,N
1.0011E+11,NBA_0009,N
1.0011E+11,NBA_0012,N
1.0011E+11,NBA_0005,N
1.0011E+11,NBA_0006,N
1.0011E+11,NBA_0009,N
1.0011E+11,NBA_0012,N
1.00111E+11,NBA_0005,N
1.00111E+11,NBA_0006,N
1.00111E+11,NBA_0009,N
1.00111E+11,NBA_0012,N
1.00118E+11,NBA_0009,N
1.00121E+11,NBA_0005,N
1.00121E+11,NBA_0006,N
1.00122E+11,NBA_0005,N
1.00122E+11,NBA_0006,N
1.00124E+11,NBA_0005,N
1.00124E+11,NBA_0006,N
1.00124E+11,NBA_0009,N
1.00124E+11,NBA_0012,N
1.00125E+11,NBA_0005,N
1.00125E+11,NBA_0006,N
1.00125E+11,NBA_0009,N
1.00125E+11,NBA_0012,N
1.00126E+11,NBA_0005,N
1.00126E+11,NBA_0006,N
1.00126E+11,NBA_0009,N
1.00126E+11,NBA_0012,N
1.00126E+11,NBA_0001,N
1.00126E+11,NBA_0005,N
1.00126E+11,NBA_0006,N
1.00126E+11,NBA_0009,N
1.00126E+11,NBA_0012,N
1.00127E+11,NBA_0001,N
1.00127E+11,NBA_0005,N
1.00127E+11,NBA_0006,N
1.00127E+11,NBA_0009,N
1.00127E+11,NBA_0012,N
1.00127E+11,NBA_0001,N
1.00127E+11,NBA_0005,N
1.00127E+11,NBA_0006,N
1.00127E+11,NBA_0009,N
1.00127E+11,NBA_0012,N
1.00127E+11,NBA_0005,N
1.00127E+11,NBA_0006,N
1.00127E+11,NBA_0009,N
1.00127E+11,NBA_0012,N
1.00129E+11,NBA_0005,N
1.00129E+11,NBA_0006,N
1.00129E+11,NBA_0009,N
1.00129E+11,NBA_0012,N
1.00131E+11,NBA_0005,N
1.00131E+11,NBA_0006,N
1.00131E+11,NBA_0009,N
1.00131E+11,NBA_0012,N
1.00137E+11,NBA_0001,N
1.00137E+11,NBA_0005,N
1.00137E+11,NBA_0006,N
1.00137E+11,NBA_0009,N
1.00137E+11,NBA_0012,N
1.00137E+11,NBA_0001,N
1.00137E+11,NBA_0005,N
1.00137E+11,NBA_0006,N
1.00137E+11,NBA_0009,N
1.00137E+11,NBA_0012,N
1.00137E+11,NBA_0005,N
1.00137E+11,NBA_0006,N
1.00137E+11,NBA_0009,N
1.00137E+11,NBA_0012,N
1.00139E+11,NBA_0009,N
1.00145E+11,NBA_0009,N
1.00145E+11,NBA_0046,P
1.00147E+11,NBA_0005,N
1.00147E+11,NBA_0006,N
1.00147E+11,NBA_0009,N
1.00147E+11,NBA_0012,N
1.0016E+11,NBA_0005,N
1.0016E+11,NBA_0006,N
1.0016E+11,NBA_0009,N
1.0016E+11,NBA_0012,N
1.00162E+11,NBA_0009,N
1.0017E+11,NBA_0046,P
1.00178E+11,NBA_0005,N
1.00178E+11,NBA_0006,N
1.00178E+11,NBA_0009,N
1.00178E+11,NBA_0012,N
1.00179E+11,NBA_0001,N
1.00179E+11,NBA_0005,N
1.00179E+11,NBA_0006,N
1.00179E+11,NBA_0009,N
1.00179E+11,NBA_0012,N
1.00182E+11,NBA_0005,N
1.00182E+11,NBA_0006,N
1.00182E+11,NBA_0009,N
1.00182E+11,NBA_0012,N
1.00183E+11,NBA_0001,N
1.00183E+11,NBA_0005,N
1.00183E+11,NBA_0006,N
1.00183E+11,NBA_0009,N
1.00183E+11,NBA_0012,N
1.00183E+11,NBA_0009,N
1.00184E+11,NBA_0005,N
1.00184E+11,NBA_0006,N
1.00184E+11,NBA_0046,P
1.00185E+11,NBA_0009,N
1.00189E+11,NBA_0001,N
1.00189E+11,NBA_0005,N
1.00189E+11,NBA_0006,N
1.00189E+11,NBA_0009,N
1.00189E+11,NBA_0012,N
1.00191E+11,NBA_0005,N
1.00191E+11,NBA_0006,N
1.00191E+11,NBA_0009,N
1.00191E+11,NBA_0012,N
1.00191E+11,NBA_0009,N
1.00191E+11,NBA_0046,P
1.00194E+11,NBA_0001,N
1.00194E+11,NBA_0005,N
1.00194E+11,NBA_0006,N
1.00194E+11,NBA_0009,N
1.00194E+11,NBA_0012,N
1.00194E+11,NBA_0046,P
1.00197E+11,NBA_0001,N
1.00197E+11,NBA_0005,N
1.00197E+11,NBA_0006,N
1.00197E+11,NBA_0009,N
1.00197E+11,NBA_0012,N
1.00202E+11,NBA_0046,P
1.00203E+11,NBA_0009,N
1.00215E+11,NBA_0005,N
1.00215E+11,NBA_0006,N
1.00216E+11,NBA_0005,N
1.00216E+11,NBA_0006,N
1.00216E+11,NBA_0009,N
1.00216E+11,NBA_0012,N
1.00216E+11,NBA_0046,P
1.00219E+11,NBA_0009,N
1.00227E+11,NBA_0045,P
1.00227E+11,NBA_0046,P
1.0023E+11,NBA_0001,N
1.0023E+11,NBA_0005,N
1.0023E+11,NBA_0006,N
1.0023E+11,NBA_0009,N
1.0023E+11,NBA_0012,N
1.00232E+11,NBA_0046,P
1.00236E+11,NBA_0005,N
1.00236E+11,NBA_0006,N
1.00236E+11,NBA_0009,N
1.00236E+11,NBA_0012,N
1.00237E+11,NBA_0046,P
1.00238E+11,NBA_0001,N
1.00238E+11,NBA_0005,N
1.00238E+11,NBA_0006,N
1.00238E+11,NBA_0009,N
1.00238E+11,NBA_0012,N
1.00238E+11,NBA_0005,N
1.00238E+11,NBA_0006,N
1.00238E+11,NBA_0009,N
1.00238E+11,NBA_0012,N
1.00239E+11,NBA_0005,N
1.00239E+11,NBA_0006,N
1.00239E+11,NBA_0009,N
1.00239E+11,NBA_0012,N
1.00239E+11,NBA_0001,N
1.00239E+11,NBA_0005,N
1.00239E+11,NBA_0006,N
1.00239E+11,NBA_0009,N
1.00239E+11,NBA_0012,N
1.00242E+11,NBA_0046,P
1.00244E+11,NBA_0009,N
1.00249E+11,NBA_0005,N
1.00249E+11,NBA_0006,N
1.00253E+11,NBA_0005,N
1.00253E+11,NBA_0006,N
1.00254E+11,NBA_0005,N
1.00254E+11,NBA_0006,N
