SubAccountNumber,EscalatedNote,Action
100066700004,"""DO NOT REBILL:  Technical issue on the account.  Tech teams engaged""",1
100147400004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
100162500004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
100170000004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
100186400004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
100248400004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
100265500004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
100275700004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
100323100004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
100332500004,"""DO NOT REBILL:  Technical issue on the account.  Tech teams engaged""",1
100348600004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
100367000004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
100382100004,"""DO NOT REBILL:  Technical issue on the account.  Tech teams engaged""",1
100386500004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
100485100004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
100633200004,"""DO NOT REBILL:  Technical issue on the account.  Tech teams engaged""",1
100661600004,"""DO NOT REBILL:  Technical issue on the account.  Tech teams engaged""",1
100678100004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
100693300004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
100705900004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
100707900004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
100712200004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
100739600004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
100775400004,"""DO NOT REBILL:  Technical issue on the account.  Tech teams engaged""",1
100829000004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
100914200004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
100916300004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
100923200004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
100926700004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
100962300004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
100971500004,"""DO NOT REBILL:  Technical issue on the account.  Tech teams engaged""",1
100972000004,"""DO NOT REBILL:  Technical issue on the account.  Tech teams engaged""",1
101058500004,"""DO NOT REBILL:  Technical issue on the account.  Tech teams engaged""",1
101209100004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
101209200004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
101219100004,"""DO NOT REBILL:  Technical issue on the account.  Tech teams engaged""",1
101250800004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
101254000004,"""DO NOT REBILL:  Technical issue on the account.  Tech teams engaged""",1
101309800004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
101385200004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
101450300004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
101455100004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
101456900004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
101482500004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
101589400004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
101681500004,"""DO NOT REBILL:  Technical issue on the account.  Tech teams engaged""",1
101691200004,"""DO NOT REBILL:  Technical issue on the account.  Tech teams engaged""",1
101762100004,"""DO NOT REBILL:  Technical issue on the account.  Tech teams engaged""",1
101767600004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
101839000004,"""DO NOT REBILL:  Technical issue on the account.  Tech teams engaged""",1
101857100004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
101870400004,"""DO NOT REBILL:  Technical issue on the account.  Tech teams engaged""",1
101875800004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
101878200004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
101969100004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
101988200004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
