SubAccountNumber,EscalatedNote,Action
100070200004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
100074100004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
100090300004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
100254700004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
100273500004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
100294700004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
100331700004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
100338800004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
100342400004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
100345600004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
100353600004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
100376200004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
100377200004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
100401100004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
100407100004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
100407300004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
100424200004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
100449400004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
100504800004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
100528200004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
100555300004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
100592300004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
100592700004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
100602100004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
100638200004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
100648300004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
100673400004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
100749500004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
100776000004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
100777800004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
100780400004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
100789700004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
100813500004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
100821900004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
100835400004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
100842200004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
100842400004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
100886400004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
100888700004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
100919000004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
100921600004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
100932900004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
100951800004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
100955400004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
