AgreementID,SuspensionStartDate,SuspensionEndDate,NewSuspensionStartDate,NewSuspensionEndDate,NewSuspensionReason
00000000000000227907_00000001316162803682_00091,22/06/2020,07/05/2021,22/06/2020,30/06/2021,SUSP_REA_008
00000000000000354358_00000001336731093789_00042,18/06/2020,07/05/2021,18/06/2020,30/06/2021,SUSP_REA_008
00000000000000366353_00000001338472906664_00271,26/06/2020,07/05/2021,26/06/2020,30/06/2021,SUSP_REA_008
00000000000000562176_00000001365602199531_00365,23/06/2020,07/05/2021,23/06/2020,30/06/2021,SUSP_REA_008
00000000000000581222_00000001368002026893_00026,23/06/2020,07/05/2021,23/06/2020,30/06/2021,SUSP_REA_008
00000000000000711495_00000001385384819820_00159,23/06/2020,07/05/2021,23/06/2020,30/06/2021,SUSP_REA_008
00000000000000775571_00000001393349800994_00188,22/06/2020,07/05/2021,22/06/2020,30/06/2021,SUSP_REA_008
00000000000001109378_00000001433514179521_00130,18/06/2020,07/05/2021,18/06/2020,30/06/2021,SUSP_REA_008
00000000000001191659_00000001441806178726_00091,29/06/2020,07/05/2021,29/06/2020,30/06/2021,SUSP_REA_008
00000000000001218735_00000001444730598605_00068,24/06/2020,07/05/2021,24/06/2020,30/06/2021,SUSP_REA_008
00000000000001456071_00000001470241390868_00113,18/06/2020,07/05/2021,18/06/2020,30/06/2021,SUSP_REA_008
00000000000001779110_00000001499265736655_00142,24/06/2020,07/05/2021,24/06/2020,30/06/2021,SUSP_REA_008
00000000000001855970_00000001507139497581_00114,13/06/2020,07/05/2021,13/06/2020,30/06/2021,SUSP_REA_008
00000000000002001544_00000001520506804517_00023,29/06/2020,07/05/2021,29/06/2020,30/06/2021,SUSP_REA_008
00000000000002105056_00000001530101175273_00079,29/06/2020,07/05/2021,29/06/2020,30/06/2021,SUSP_REA_008
00000000000002139134_00000001533205815324_00061,25/06/2020,07/05/2021,25/06/2020,30/06/2021,SUSP_REA_008
00000000000002286836_00000001547124205974_00074,24/06/2020,07/05/2021,24/06/2020,30/06/2021,SUSP_REA_008
00000000000002299001_00000001548249045409_00062,29/06/2020,07/05/2021,29/06/2020,30/06/2021,SUSP_REA_008
00000000000002479134_00000001565361118291_00222,24/06/2020,07/05/2021,24/06/2020,30/06/2021,SUSP_REA_008
00000000000002498834_00000001567084999855_00110,23/06/2020,07/05/2021,23/06/2020,30/06/2021,SUSP_REA_008
MIGPRD00000000449743_00000008060042082378_92131,17/06/2020,07/05/2021,17/06/2020,30/06/2021,SUSP_REA_008
MIGPRD00000000452014_00000008060042072224_05780,25/06/2020,07/05/2021,25/06/2020,30/06/2021,SUSP_REA_008
MIGPRD00000000455981_00000008060041636110_64671,26/06/2020,07/05/2021,26/06/2020,30/06/2021,SUSP_REA_008
MIGPRD00000000456194_00000008060041913295_86784,24/06/2020,07/05/2021,24/06/2020,30/06/2021,SUSP_REA_008
MIGPRD00000000458685_00000008060041649942_11890,16/06/2020,07/05/2021,16/06/2020,30/06/2021,SUSP_REA_008
MIGPRD00000000479113_00000008060041907241_77398,17/06/2020,07/05/2021,17/06/2020,30/06/2021,SUSP_REA_008
MIGPRD00000000479662_00000008060042020018_30735,21/06/2020,07/05/2021,21/06/2020,30/06/2021,SUSP_REA_008
MIGPRD00000000484327_00000008060041415650_53619,24/06/2020,07/05/2021,24/06/2020,30/06/2021,SUSP_REA_008
