"Sky Reference Number - Outlet","Marketing tag"
"105931200004","Q4 12/13  Rugby  - Treated Customer"
"100736900004","Q4 12/13  Rugby  - Treated Customer"
"103391500004","Q4 12/13 Rugby - Control Group (Non-Treated)"
"103655200004","Q4 12/13  Rugby  - Treated Customer"
"104514900004","Q4 12/13  Rugby  - Treated Customer"
"101890400004","Q4 12/13  Rugby  - Treated Customer"
"100758200004","Q4 12/13  Rugby  - Treated Customer"
"105426100004","Q4 12/13  Rugby  - Treated Customer"
"101159700004","Q4 12/13  Rugby  - Treated Customer"
"104309200004","Q4 12/13  Rugby  - Treated Customer"
"103466400004","Q4 12/13 Rugby - Control Group (Non-Treated)"
"100377400004","Q4 12/13 Rugby - Control Group (Non-Treated)"
"100811300004","Q4 12/13  Rugby  - Treated Customer"
"103464300004","Q4 12/13 Rugby - Control Group (Non-Treated)"
"101789100004","Q4 12/13 Rugby - Control Group (Non-Treated)"
"105071600004","Q4 12/13 Rugby - Control Group (Non-Treated)"
"102771500004","Q4 12/13 Rugby - Control Group (Non-Treated)"
"105556000004","Q4 12/13  Rugby  - Treated Customer"
"180384900004","Q4 12/13 Rugby - Control Group (Non-Treated)"
"101982300004","Q4 12/13 Rugby - Control Group (Non-Treated)"
"104809000004","Q4 12/13 Rugby - Control Group (Non-Treated)"
"102643800004","Q4 12/13 Rugby - Control Group (Non-Treated)"
"180206700004","Q4 12/13 Rugby - Control Group (Non-Treated)"
"101847100004","Q4 12/13  Rugby  - Treated Customer"
"181229000004","Q4 12/13  Rugby  - Treated Customer"
"103651900004","Q4 12/13  Rugby  - Treated Customer"
"102464500004","Q4 12/13  Rugby  - Treated Customer"
"100894500004","Q4 12/13  Rugby  - Treated Customer"
"104582100004","Q4 12/13  Rugby  - Treated Customer"
"103284300004","Q4 12/13  Rugby  - Treated Customer"
"105982200004","Q4 12/13  Rugby  - Treated Customer"
"101240800004","Q4 12/13  Rugby  - Treated Customer"
"104770700004","Q4 12/13  Rugby  - Treated Customer"
"180328800004","Q4 12/13  Rugby  - Treated Customer"
"180954700004","Q4 12/13  Rugby  - Treated Customer"
"105504900004","Q4 12/13  Rugby  - Treated Customer"
"101424800004","Q4 12/13  Rugby  - Treated Customer"
"105471400004","Q4 12/13  Rugby  - Treated Customer"
"104310800004","Q4 12/13  Rugby  - Treated Customer"
"100949800004","Q4 12/13  Rugby  - Treated Customer"
"100720900004","Q4 12/13  Rugby  - Treated Customer"
"101462400004","Q4 12/13  Rugby  - Treated Customer"
"104934200004","Q4 12/13  Rugby  - Treated Customer"
"100752000004","Q4 12/13  Rugby  - Treated Customer"
"100425400004","Q4 12/13  Rugby  - Treated Customer"
"103727400004","Q4 12/13  Rugby  - Treated Customer"
"101000000004","Q4 12/13  Rugby  - Treated Customer"
"105017900004","Q4 12/13  Rugby  - Treated Customer"
"101533900004","Q4 12/13  Rugby  - Treated Customer"
"106979500004","Q4 12/13  Rugby  - Treated Customer"
"104352200004","Q4 12/13  Rugby  - Treated Customer"
"180497000004","Q4 12/13  Rugby  - Treated Customer"
"180963900004","Q4 12/13  Rugby  - Treated Customer"
"102745700004","Q4 12/13  Rugby  - Treated Customer"
"102341900004","Q4 12/13  Rugby  - Treated Customer"
"104920200004","Q4 12/13  Rugby  - Treated Customer"
"180318100004","Q4 12/13  Rugby  - Treated Customer"
"102699700004","Q4 12/13  Rugby  - Treated Customer"
"104846400004","Q4 12/13  Rugby  - Treated Customer"
"100358400004","Q4 12/13  Rugby  - Treated Customer"
"101749600004","Q4 12/13  Rugby  - Treated Customer"
"180301700004","Q4 12/13  Rugby  - Treated Customer"
"100088900004","Q4 12/13  Rugby  - Treated Customer"
"105097600004","Q4 12/13  Rugby  - Treated Customer"
"102022000004","Q4 12/13  Rugby  - Treated Customer"
"103212500004","Q4 12/13  Rugby  - Treated Customer"
"101908000004","Q4 12/13  Rugby  - Treated Customer"
"180302800004","Q4 12/13  Rugby  - Treated Customer"
"102184700004","Q4 12/13  Rugby  - Treated Customer"
"180383400004","Q4 12/13  Rugby  - Treated Customer"
"100074900004","Q4 12/13  Rugby  - Treated Customer"
"100347900004","Q4 12/13  Rugby  - Treated Customer"
"104326900004","Q4 12/13  Rugby  - Treated Customer"
"104825700004","Q4 12/13  Rugby  - Treated Customer"
"105491500004","Q4 12/13  Rugby  - Treated Customer"
"104468000004","Q4 12/13  Rugby  - Treated Customer"
"102303900004","Q4 12/13  Rugby  - Treated Customer"
"103297100004","Q4 12/13  Rugby  - Treated Customer"
"103802700004","Q4 12/13  Rugby  - Treated Customer"
"105510000004","Q4 12/13  Rugby  - Treated Customer"
"180805000004","Q4 12/13  Rugby  - Treated Customer"
"103822700004","Q4 12/13  Rugby  - Treated Customer"
"180300000004","Q4 12/13  Rugby  - Treated Customer"
"104366500004","Q4 12/13  Rugby  - Treated Customer"
"104481700004","Q4 12/13  Rugby  - Treated Customer"
"104771700004","Q4 12/13  Rugby  - Treated Customer"
"105448800004","Q4 12/13  Rugby  - Treated Customer"
"101456800004","Q4 12/13  Rugby  - Treated Customer"
"102514100004","Q4 12/13  Rugby  - Treated Customer"
"180348900004","Q4 12/13  Rugby  - Treated Customer"
"100889100004","Q4 12/13  Rugby  - Treated Customer"
"105635900004","Q4 12/13  Rugby  - Treated Customer"
"103626600004","Q4 12/13  Rugby  - Treated Customer"
"101910000004","Q4 12/13  Rugby  - Treated Customer"
"105305700004","Q4 12/13  Rugby  - Treated Customer"
"102417500004","Q4 12/13  Rugby  - Treated Customer"
"104427000004","Q4 12/13  Rugby  - Treated Customer"
"103835400004","Q4 12/13  Rugby  - Treated Customer"
"105216000004","Q4 12/13  Rugby  - Treated Customer"
"102206600004","Q4 12/13  Rugby  - Treated Customer"
"103850400004","Q4 12/13  Rugby  - Treated Customer"
"104049500004","Q4 12/13  Rugby  - Treated Customer"
"100560500004","Q4 12/13  Rugby  - Treated Customer"
"100279500004","Q4 12/13  Rugby  - Treated Customer"
"102014400004","Q4 12/13  Rugby  - Treated Customer"
"101831200004","Q4 12/13  Rugby  - Treated Customer"
"100097100004","Q4 12/13 Rugby - Control Group (Non-Treated)"
"101252800004","Q4 12/13  Rugby  - Treated Customer"
"103067600004","Q4 12/13  Rugby  - Treated Customer"
"102946500004","Q4 12/13  Rugby  - Treated Customer"
"101340100004","Q4 12/13 Rugby - Control Group (Non-Treated)"
