"SkyRefNumber","marketingtag"
"132413900004","BNB_1516"
"185209000004","BNB_1516"
"185212300004","BNB_1516"
"183093500004","BNB_1516"
"136942300004","BNB_1516"
"185212400004","BNB_1516"
"185212500004","BNB_1516"
"117533100004","BNB_1516"
"185217900004","BNB_1516"
"185218000004","BNB_1516"
"185218100004","BNB_1516"
"184452700004","BNB_1516"
"185226200004","BNB_1516"
"185226200004","BNB_1516"
"185223700004","BNB_1516"
"185223800004","BNB_1516"
"185223900004","BNB_1516"
"122803600004","BNB_1516"
"131429500004","BNB_1516"
"185224100004","BNB_1516"
"185224200004","BNB_1516"
"185228500004","BNB_1516"
"185228600004","BNB_1516"
"185228800004","BNB_1516"
"130857400004","BNB_1516"
"132105800004","BNB_1516"
"185232100004","BNB_1516"
"185232200004","BNB_1516"
"185240800004","BNB_1516"
"185240900004","BNB_1516"
"183919400004","BNB_1516"
"185241100004","BNB_1516"
"185241200004","BNB_1516"
"132413000004","BNB_1516"
"137438700004","BNB_1516"
"123267900004","BNB_1516"
"182532100004","BNB_1516"
"184895900004","BNB_1516"
"185256900004","BNB_1516"
"184909200004","BNB_1516"
"141482100004","BNB_1516"
"185257000004","BNB_1516"
"106383000004","BNB_1516"
"122594700004","BNB_1516"
"107455300004","BNB_1516"
"130323000004","BNB_1516"
"180466400004","BNB_1516"
"120418100004","BNB_1516"
"185310600004","BNB_1516"
"138285800004","BNB_1516"
"181250900004","BNB_1516"
"185310800004","BNB_1516"
"125642200004","BNB_1516"
"185311100004","BNB_1516"
"139846100004","BNB_1516"
"124299600004","BNB_1516"
"109687300004","BNB_1516"
"182908100004","BNB_1516"
"111016900004","BNB_1516"
"139846100004","BNB_1516"
"124299600004","BNB_1516"
"142677600004","BNB_1516"
"184883700004","BNB_1516"
"185311500004","BNB_1516"
"185311600004","BNB_1516"
"185311700004","BNB_1516"
"181143900004","BNB_1516"
"128110400004","BNB_1516"
"135181200004","BNB_1516"
"185311900004","BNB_1516"
"185312000004","BNB_1516"
"180544000004","BNB_1516"
"185318100004","BNB_1516"
"116955500004","BNB_1516"
"109843200004","BNB_1516"
"132091100004","BNB_1516"
"185328400004","BNB_1516"
"133009000004","BNB_1516"
"183794000004","BNB_1516"
"115948300004","BNB_1516"
"109674900004","BNB_1516"
"129175400004","BNB_1516"
"131140100004","BNB_1516"
"142568400004","BNB_1516"
"185355700004","BNB_1516"
"185355800004","BNB_1516"
"139855500004","BNB_1516"
"185356000004","BNB_1516"
"125786000004","BNB_1516"
"183046100004","BNB_1516"
"185356100004","BNB_1516"
"117692000004","BNB_1516"
"139654500004","BNB_1516"
"131987500004","BNB_1516"
"125896000004","BNB_1516"
"185367700004","BNB_1516"
"185324900004","BNB_1516"
"185370500004","BNB_1516"
"134165200004","BNB_1516"
"141863900004","BNB_1516"
"115154300004","BNB_1516"
"141766400004","BNB_1516"
"185375200004","BNB_1516"
"185375300004","BNB_1516"
"185376900004","BNB_1516"
"185381200004","BNB_1516"
"184436900004","BNB_1516"
"141945700004","BNB_1516"
"112031600004","BNB_1516"
"141917200004","BNB_1516"
"141909900004","BNB_1516"
"185389300004","BNB_1516"
"185394200004","BNB_1516"
"185394300004","BNB_1516"
"115321600004","BNB_1516"
"182539900004","BNB_1516"
"185034400004","BNB_1516"
"133208800004","BNB_1516"
"135052900004","BNB_1516"
"185408200004","BNB_1516"
"185408300004","BNB_1516"
"119125500004","BNB_1516"
"185408400004","BNB_1516"
"124853200004","BNB_1516"
"185251200004","BNB_1516"
