"SkyRefNumber","marketingtag"
"136432000004","BNB_1516"
"185820100004","BNB_1516"
"185820200004","BNB_1516"
"185820300004","BNB_1516"
"185820500004","BNB_1516"
"185811500004","BNB_1516"
"185811600004","BNB_1516"
"185811700004","BNB_1516"
"185811800004","BNB_1516"
"185811900004","BNB_1516"
"185812000004","BNB_1516"
"185812100004","BNB_1516"
"185812200004","BNB_1516"
"185812300004","BNB_1516"
"185812400004","BNB_1516"
"185812500004","BNB_1516"
"185812600004","BNB_1516"
"185812700004","BNB_1516"
"185812800004","BNB_1516"
"185812900004","BNB_1516"
"185813000004","BNB_1516"
"185813100004","BNB_1516"
"185813200004","BNB_1516"
"185813300004","BNB_1516"
"185813800004","BNB_1516"
"185813900004","BNB_1516"
"185814000004","BNB_1516"
"185814100004","BNB_1516"
"185814200004","BNB_1516"
"185814300004","BNB_1516"
"185814400004","BNB_1516"
"185814500004","BNB_1516"
"185814700004","BNB_1516"
"185814800004","BNB_1516"
"185814900004","BNB_1516"
"185815000004","BNB_1516"
"185815100004","BNB_1516"
"185815200004","BNB_1516"
"185813400004","BNB_1516"
"185813500004","BNB_1516"
"185813600004","BNB_1516"
"185815500004","BNB_1516"
"185815600004","BNB_1516"
"185815800004","BNB_1516"

