"SkyRefNumber","marketingtag"
"107176700004","BNB_1516"
"107176700004","BNB_1516"
"114061800004","BNB_1516"
"116155600004","BNB_1516"
"121861800004","BNB_1516"
"126437000004","BNB_1516"
"127476000004","BNB_1516"
"131792200004","BNB_1516"
"132609600004","BNB_1516"
"135629800004","BNB_1516"
"136304200004","BNB_1516"
"137330700004","BNB_1516"
"141445300004","BNB_1516"
"141644400004","BNB_1516"
"182707100004","BNB_1516"
"185294300004","BNB_1516"
"185501900004","BNB_1516"
"185536900004","BNB_1516"
"185541800004","BNB_1516"
"185550300004","BNB_1516"
"185550300004","BNB_1516"
"185550500004","BNB_1516"
"185550500004","BNB_1516"
"185550700004","BNB_1516"
"185550700004","BNB_1516"
"185550900004","BNB_1516"
"185551000004","BNB_1516"
"185551100004","BNB_1516"
"185551200004","BNB_1516"
"185551500004","BNB_1516"
"185558800004","BNB_1516"
"185558900004","BNB_1516"
"185559100004","BNB_1516"
"185559200004","BNB_1516"
"185559500004","BNB_1516"
"185560600004","BNB_1516"
"185571300004","BNB_1516"
"185574800004","BNB_1516"
"185574900004","BNB_1516"
"185581200004","BNB_1516"
"185581300004","BNB_1516"
"185581400004","BNB_1516"
