Group Account Number|Outlet subAccountNumber|Project Number
182584100001|130934000004|P1385
182584100001|184440300004|P1652
182584100001|185533700004|P1185
182584100001|130467300004|P2022
182584100001|102726200004|P1650
182584100001|134473500004|P1078
182584100001|185315100004|P2051
182584100001|183963700004|P1464
182584100001|182089300004|P1292
182584100001|182763700004|P1518
182584100001|182519400004|P1703
182584100001|181191600004|P2079
182584100001|142698600004|P1532
182584100001|181338500004|P1486
182584100001|180212200004|P1515
182584100001|139490400004|P2025
182584100001|182795000004|P1079
182584100001|101729200004|P1471
182584100001|185080800004|P1477
182584100001|183160900004|P1537
182584100001|184244700004|P2053
182584100001|181933300004|P1269
182584100001|103484300004|P1411
182584100001|182262300004|P1324
182584100001|183039800004|P1489
182584100001|131165100004|P1207
182584100001|182684900004|P1306
182584100001|102758100004|P1701
182584100001|134482000004|P1339
182584100001|185593500004|P1814
182584100001|184936000004|P1223
182584100001|185400800004|P1520
182584100001|128130000004|P2081
182584100001|181911800004|P1193
182584100001|101366300004|P1100
182584100001|101069000004|P1829
182584100001|101335500004|P2018
182584100001|126127800004|P2070
182584100001|184220900004|P1470
182584100001|128072000004|P1912
182584100001|180574200004|P1042
182584100001|101348100004|P1986
182584100001|181954800004|P1952
182584100001|182635700004|P1480
182584100001|141469000004|P1450
182584100001|110730100004|P2010
182584100001|183970800012|P1011
182584100001|100032400621|P1834
182584100001|141741900004|P1372
182584100001|117409700004|P1288
182584100001|110785800004|P1521
182584100001|183496900004|P2037
182584100001|139818000004|P1297
182584100001|101215900004|P2029
182584100001|132551300004|P2060
182584100001|103106900004|P2004
182584100001|184419700004|P1700
182584100001|183970800026|P1259
182584100001|180097000004|P1265
182584100001|184434800004|P2032
182584100001|106201600004|P2069
182584100001|118939500004|P1186
182584100001|183062700004|P1367
182584100001|185599600004|P1029
182584100001|185402400004|P1163
182584100001|185436000004|P1533
182584100001|185787200004|P2055
182584100001|141479100004|P2020
182584100001|180177200004|P1005
182584100001|181213300004|P2048
182584100001|181610900004|P1161
182584100001|106985200004|P2039
182584100001|183625700004|P1381
182584100001|124962100004|P2068
182584100001|134475000004|P1056
182584100001|183608200004|P1271
182584100001|103601700004|P1340
182584100001|183077000004|P2054
182584100001|139506100004|P1522
182584100001|137047500004|P1550
182584100001|185062300004|P1397
182584100001|182832100004|P1051
182584100001|115868900004|P1831
182584100001|182836800004|P1958
182584100001|180557000004|P1957
182584100001|102399100004|P1802
182584100001|127237400004|P1903
182584100001|185459200004|P1432
182584100001|103271500004|P2034
182584100001|182993400004|P1114
182584100001|104121300004|P1086
182584100001|184171700004|P1529
182584100001|139695500004|P1388
182584100001|182600300004|P1369
182584100001|183084700004|P1951
182584100001|182281600004|P1705
182584100001|105050200004|P1210
182584100001|182882300004|P1810
182584100001|104109400004|P1108
182584100001|183847300004|P1527
182584100001|107554500004|P1309
182584100001|180104100004|P1407
182584100001|184472900004|P1473
182584100001|184067100004|P1675
182584100001|100021700087|P1197
182584100001|184234900004|P1434
182584100001|142425200004|P1202
182584100001|183646400004|P1512
182584100001|140521000004|P1177
182584100001|181209600004|P1481
182584100001|101134000004|P2003
182584100001|184197200004|P2078
182584100001|100021700036|P1378
182584100001|103370100004|P1111
182584100001|101623000004|P1058
182584100001|132479000004|P1392
182584100001|139279100004|P2040
182584100001|185384300004|P2050
182584100001|185486000004|P1725
182584100001|184985700004|P1938
182584100001|141847700004|P1812
182584100001|184753800004|P1092
182584100001|181280200004|P1326
182584100001|136476700004|P1234
182584100001|103831800004|P1350
182584100001|115939500004|P1383
182584100001|100021700066|P1801
182584100001|104136900004|P1656
182584100001|118449300004|P1544
182584100001|180558800004|P2008
182584100001|182559300004|P1003
182584100001|183693900004|P1535
182584100001|182836400004|P1328
182584100001|132854700004|P1945
182584100001|102716700004|P1295
182584100001|184003500004|P1312
182584100001|185520500004|P2042
182584100001|180770500004|P1263
182584100001|141127100004|P1424
