Sky Ref Number,Outlet Type,Food Offering,BT Sports Pub,Preferential Sports,Number of TVs,Carling,Molson Coors
101516200004,Cricket Club,everyday traditional,No,,1,Yes,IOP - tier 3
100903000004,Cricket Club,bar snacks,No,,1,Yes,IOP - tier 3
100313800004,Cricket Club,everyday traditional,No,,1,Yes,IOP - tier 3
105643900004,Cricket Club,everyday traditional,No,,1,Yes,IOP - tier 3
102055400004,Cricket Club,everyday traditional,No,,1,Yes,IOP - tier 3
105042200004,Cricket Club,bar and kitchen,No,,1,Yes,IOP - tier 3
102364900004,Cricket Club,fine dining,No,,1,Yes,Wholesale
183802700004,Cricket Club,everyday traditional,No,,1,Yes,IOP - tier 3
100033000050,Cricket Club,everyday traditional,No,,1,No,Wholesale
100634300004,Cricket Club,everyday traditional,No,,1,Yes,IOP - tier 3
105062500004,Cricket Club,everyday traditional,No,,1,No,Wholesale
102233100004,Cricket Club,everyday traditional,No,,1,Yes,IOP - tier 3
102221600004,Cricket Club,bar and kitchen,No,,1,Yes,IOP - tier 3
104468900004,Cricket Club,bar and kitchen,No,,1,Yes,IOP - tier 3
104599600004,Cricket Club,everyday traditional,No,,1,Yes,IOP - tier 3
100256500004,Cricket Club,everyday traditional,No,,1,Yes,IOP - not eligible
103153700004,Cricket Club,everyday traditional,No,,1,No,
103862500004,Cricket Club,everyday traditional,No,,1,Yes,
103250800004,Cricket Club,bar and kitchen,No,,1,No,
103860400004,Cricket Club,everyday traditional,No,,1,No,Wholesale
104457400004,Cricket Club,everyday traditional,No,,1,Yes,Wholesale
105632800004,Cricket Club,everyday traditional,No,,1,No,
102645000004,Cricket Club,bar and kitchen,No,,1,No,
102855300004,Cricket Club,everyday traditional,No,,1,No,
103628300004,Cricket Club,everyday traditional,No,,1,No,
102675000004,Cricket Club,everyday traditional,No,,1,No,Wholesale
181432000004,Cricket Club,everyday traditional,No,,1,No,
103847600004,Cricket Club,everyday traditional,Yes,,1,No,
180867200004,Cricket Club,everyday traditional,No,,1,No,
103836000004,Cricket Club,everyday traditional,No,,1,No,
103306600004,Cricket Club,bar and kitchen,No,,1,No,
100463600004,Cricket Club,fine dining,No,,1,No,
105101500004,Cricket Club,fine dining,No,,1,No,
105052000004,Cricket Club,everyday traditional,No,,1,No,
137340800004,Cricket Club,everyday traditional,No,,1,No,
103503600004,Cricket Club,bar and kitchen,No,,1,No,
102491200004,Cricket Club,everyday traditional,No,,1,No,
182806400004,Cricket Club,everyday traditional,No,,1,No,
112984100004,Cricket Club,fine dining,No,,1,No,
